
I	私は(が)
abandon	…を捨て去る
disease	病気
morning	朝
compare	…を比較する，…をたとえる
mineral	鉱物
hundred	百
opinion	意見
primary	最初の，主要な，最優先の
imitate	…を模倣する
compete	競争する
average	平均の／平均
society	社会
holiday	休日
evening	晩
himself	彼自身
fifteen	15
England	イングランド
husband	夫
English	英語
discuss	…について議論する
herself	彼女自身
private	個人的な，私的な
healthy	健康な
complex	複雑な
believe	信じる
discuss	話し合う
thought	考えること，考え
isolate	…を孤立させる
thought	考え
compose	…を構成する，＜曲や詩＞を作る
harmony	調和
problem	問題
harmful	有害な
problem	問題
beneath	…の下に
proceed	進む
happily	幸せに，楽しく
process	過程／…を加工処理する
between	～と～の間
produce	…を生みだす，…を生産する
billion	１０億
product	製品，産物
largely	主として
typical	典型的な
breathe	呼吸をする
feeling	感覚
tragedy	悲劇
welcome	歓迎される／…を歓迎する
grammar	文法
welcome	ようこそ
tension	緊張
concert	コンサート
passive	受身の，消極的な
program	番組
genuine	本物の，偽りのない
program	（実施）計画，プログラム
capable	可能性がある，しかねない，有能な
conduct	行為／…を行う
o'clock	～時
project	計画，事業
capital	首都
promise	約束
captain	船長
promote	…を促進する
careful	注意深い
undergo	…を経験する
achieve	…を達成する
confine	…を限る，…を閉じこめる
percent	パーセント
sixteen	16
perform	…を行う，機能する
confirm	…を確認する
swallow	…を飲み込む
confuse	…を混乱させる
survive	（…を切り抜け）生き残る
initial	当初の
liberal	（他の思想に）寛大な，自由主義的な
propose	…を提案する
impress	…に感銘を与える
married	結婚した，既婚の
garbage	（生）ゴミ，くず
protect	…を守る
impulse	衝動
protest	抗議する／抗議
central	中心の
feature	特徴／…を目玉とする
observe	…を観察する，…を遵守する
similar	よく似た
funeral	葬式
proverb	ことわざ
century	世紀
provide	…を［…に］与える
include	…を含む
weather	気候，天気
fulfill	…を果たす，…をかなえる
connect	…をつなげる
certain	ある
publish	…を出版する
pioneer	開拓者，先駆者
massive	巨大な，大規模な
suggest	…を提案する，…を示唆する
weather	天気
success	成功，成功したもの［人］
unhappy	不幸な
success	成功
purpose	目的
journey	旅
ashamed	恥じて
subject	科目，題目
pursuit	追跡，追求
divorce	離婚
involve	…を含む，…を巻き込む
nothing	何も～ない
consist	成り立つ，存在する
pleased	喜んで
quality	質
strange	奇妙な，見知らぬ
unknown	未知の，無名の
however	しかし
wealthy	裕福な
chicken	ニワトリ
consume	…を消費する
Chinese	中国の，中国人の
contact	…と連絡をとる／接触，連絡
January	１月
quickly	すばやく
address	住所，演説／…の前で演説をする
contain	…を含む，…が入っている
disturb	…の平穏を妨げる
quietly	静かに
athlete	運動選手
insight	深く正確な理解，洞察（力）
popular	人気のある，大衆の
unusual	めずらしい，普通でない
forever	永遠に
content	中身，目次／満足して
foreign	外国の
airport	空港
climate	気候
inspire	…を鼓舞する
closely	綿密に，密接に
contest	コンテスト
whisper	ささやく
evident	明らかな
fishing	魚釣り
shelter	避難，避難場所
clothes	服
arrange	（…を）計画・準備する
finally	ついに
railway	鉄道
display	…を展示する／展示
dignity	威厳，尊厳
species	（動植物の）種
already	すでに
special	特別な
rainbow	虹
collect	集める
control	支配，制御／…を支配［制御］する
collect	…を集める，…を徴収する
useless	役に立たない
college	大学
convert	…を変える，変わる
combine	…を結合させる
seventy	70
Tuesday	火曜日
dialect	方言，なまり
command	…に［を］命じる／行使する力
rapidly	素早く
present	出席している，現在の
nervous	あがっている，神経質な
someone	だれか
neither	～も～も(ない)
disease	病気
seventh	7番目の
twelfth	１２番目の
usually	ふつう
prevent	…を妨げる
amazing	びっくりするような
imagine	…を想像する
develop	…を発達［発展］させる，発達する
totally	完全に
failure	失敗，失敗作，失敗者
tonight	今夜(は)
factory	工場
justify	…を正当化する
servant	使用人，お手伝い
healthy	健康（的）な
destroy	…を破壊する
harvest	収穫／…を収穫する
serious	真剣な，深刻な
emotion	感情
destroy	破壊する
painter	画家
readily	すぐに
besides	その上
despite	…にもかかわらず
element	要素
correct	正確な／…を訂正する
traffic	交通，往来／交通の
reality	現実
passage	（文章の）一節，通路
realize	理解する，実現する
attract	…を引きつける
realize	…だとわかる，…を実現する
patient	我慢強い／患者
neglect	…の世話を怠る，…を省みない
capital	資本，資本金，首都／大文字の
extreme	極端な
leisure	余暇
exactly	正確［厳密］に，ちょうど
acquire	…を身につける
America	アメリカ
suspect	…を疑う，…ではないかと思う／容疑者
receive	受け取る
surface	表面
receive	…を受け取る
improve	…を改善する
examine	…を検査する，…を調べる
suppose	…だと思う，…だと仮定する
meaning	意味
physics	物理学
courage	勇気
picture	絵，写真
courage	勇気
certain	ある…，確信している
measure	措置，測るもの／…を測る
nuclear	核の
variety	多様
succeed	成功する
medical	医学の，医療の
freedom	自由
recover	回復する
located	（ある場所に）位置する
mention	…について言及する
strange	奇妙な
various	さまざまな
willing	いとわない，やぶさかでない
express	…を表現する
forward	前方へ
science	科学
citizen	市民
reflect	…を反映する，熟考する
advance	前進する／前進，事前
analyze	…を分析する
portion	部分
science	科学
possess	…を所有する
scholar	学者
distant	遠く離れた
ancient	古代の，大昔の
dispute	争議，口論
natural	当然の，自然の
however	しかしながら
scatter	…をまき散らす
dislike	嫌う
natural	自然の
predict	…を予想する，…を予測する
related	関係している，関連した
prepare	準備をする，…に準備をさせる
culture	文化
manager	部長，支配人，監督
satisfy	…を満足させる
pretend	…のふりをする
culture	文化
soldier	兵士
release	…を解き放つ
history	歴史
curious	好奇心が強い
outside	外側の
current	現在の，目下の／流れ
emperor	皇帝，天皇
relieve	…を和らげる，…から取り除く
benefit	利益／…に利益をもたらす
curtain	カーテン
theater	劇場
million	１００万
passion	熱望，強い関心
example	例
account	説明，口座／説明する，占める
million	百万
general	一般的な，全般的な
another	ほかの，もうひとつの
obvious	明白な
explore	…を探索［探検］する
witness	目撃者，証人／…を目撃する
vehicle	乗り物，伝達手段
educate	…を教育する
explain	…を説明する
ecology	生態（学）
engaged	従事している，婚約している
subject	話題，主題
musical	音楽の
attempt	試み／…を試みる
explain	説明する
address	住所
replace	…に取って代わる
popular	人気のある
anxiety	心配，不安
climate	気候
routine	いつもの／いつもの手順
imagine	想像する
excited	興奮した
special	特別の
roughly	大雑把に
whereas	…である一方で
declare	…を宣言する
somehow	どうにか
visitor	訪問者
history	歴史
request	…を依頼する／依頼
absence	不在，欠如
require	…を必要とする
bicycle	自転車
anxious	心配して，切望する
October	１０月
decline	…を断る，衰退する／低下，衰退
perhaps	多分
reserve	…を取っておく，…を予約する
support	…を支持［支援］する／支持，支援
mistake	誤り
dressed	服を身につけた
mistake	誤り／…を～と間違える
logical	論理的な
resolve	…を解決する，決心する
forever	永久に
respect	尊敬，尊重，点／…を尊敬する
dislike	…を嫌がる／嫌悪
respond	反応する，返答する
present	プレゼント
version	…版，別形式
because	なぜなら
visible	目に見える
elderly	年配の
delight	喜び
liberty	自由
depress	…を落胆させる
stretch	広がる／広がり
deliver	…を配達する
foolish	愚かな
company	会社，仲間
exhaust	…を疲れ果てさせる，…を使い果たす
monthly	月刊
exhibit	…を表に出す，…を展示する，
expense	費用，出費，犠牲
painful	苦痛な
precise	正確な
fortune	運，財産
economy	経済
capture	…を捕える
engineer	エンジニア
disaster	災害
division	分割，部門
universe	宇宙
exercise	運動，練習／運動をする
consider	…について考える，…を～だと見なす
ordinary	普通の
peculiar	奇妙な
mountain	山
identify	…を見分ける
baseball	野球
material	材料，原料／物質（的）な
tomorrow	明日
generous	気前のよい
together	一緒に
purchase	…を購入する／購入
violence	暴力
attitude	考え方，態度
apparent	外見上の，明らかな
accurate	正確な
definite	明確な
everyone	みんな
movement	動き，（政治的・社会的）運動
category	部門，部類
decrease	減少する／減少
generate	…を発生させる
overcoat	オーバー
opposite	反対の／…と反対側の
decision	決定，決心
favorite	一番好きな，一番好きなもの
describe	…について述べる，…を描写する
discover	発見する
minority	少数派
perceive	…を知覚する
overcome	…を克服する
prospect	見通し，見込み
remember	…を覚えている，…を思い出す
property	財産，所有地
customer	顧客
confront	…を直面させる
national	国家の，国民の
conflict	対立，争い
religion	宗教
occasion	（特定の）時，場合
reliable	頼りになる
properly	適切に
enormous	非常に大きい
survival	生存
thousand	千
personal	個人の
Saturday	土曜日
discover	…を発見する
homeroom	ホームルーム
surround	…を取り囲む
absolute	絶対的な，完全な
umbrella	かさ
elephant	象
progress	進歩
yourself	あなた自身
surprise	…を驚かせる／驚き
birthday	誕生日
ultimate	究極の
critical	極めて重要な，非常に深刻な
conclude	締めくくる，…という結論を下す
homework	宿題
profound	深い，大きな
merchant	商人
personal	個人的な，個人の
language	ことば，言語
February	２月
security	安心，安全，治安
persuade	説得する
creation	創造，創造物
slightly	わずかに
abstract	抽象的な
inferior	劣った
valuable	貴重な
festival	祭り
textbook	教科書
computer	コンピュータ
recently	最近
transfer	…を移す
negative	否定の，否定的［悲観的］な
probably	おそらく
neighbor	隣人
probably	多分
sensible	分別［判断力］がある
incident	事件
sentence	文
suppress	…を抑える
business	商売
complete	完全な
ambition	夢，大望
inclined	傾いている，傾向がある
convince	…に納得させる
complain	不満を言う
graduate	卒業する
physical	身体の，物理的な
rational	理性的な
superior	より優れた
although	…だけれども
function	機能／機能する
although	であるけれど
socially	社会的に
campaign	政治的運動
activity	活動
passport	パスポート
suitable	適した
diminish	減る，…を減らす
economic	経済の，経済的な
contrary	反対の
numerous	多数の
contract	契約
previous	前の
patience	辛抱強さ，忍耐
nineteen	19
capacity	最大容量［積載量・稼働力］，能力
solution	解決（法）
disagree	一致しない
frontier	国境，辺境
unlikely	可能性が低い
suddenly	突然
peaceful	平和な
industry	産業，工業
shoulder	肩
frighten	…をおびえさせる，…を怖がらせる
quantity	量
entrance	入り口，入学
constant	絶え間ない
dramatic	劇的な
organize	…を組織する
November	１１月
restrict	…を制限する
somewhat	いくぶん
delicate	微妙な
humanity	人間，人間性
hesitate	ためらう
commonly	一般に
resident	居住者
preserve	…を保存［保護］する
reporter	レポーター
friendly	友好的な
December	１２月
friendly	好意的な
overlook	…を見落とす，…を見過ごす
majority	大多数，大半
Thursday	木曜日
presence	存在
national	国の，国立の
dominate	…を支配する
relative	相対的［比較的］な
estimate	…を推定する，…を見積もる／推定
relation	関係
maintain	…を維持する，…だと主張する
elevator	エレベーター
domestic	国内の，家庭内の
appetite	食欲
precious	貴重な
midnight	真夜中
exercise	練習する
language	言語
practice	練習，慣習，実行
creative	創造的な
practice	練習する
accident	事故
wherever	…する所はどこでも
American	アメリカの
astonish	…をびっくりさせる
building	建物
increase	…を増やす，増える
terrible	ひどい，不快な
specific	具体的な，特定の
reaction	反応　
literary	文学の
neighbor	近所の人
struggle	もがき苦しむ
instinct	本能
spelling	綴り
laughter	笑い
treasure	宝物
approach	…に近づく
magazine	雑誌
training	トレイニング
frequent	頻繁な
evidence	証拠
indicate	…を指し示す
eighteen	18
distance	距離
shortage	不足
possibly	ひょっとすると
universe	宇宙
possible	可能な
original	当初の／原文
football	フットボール
bathroom	浴室
positive	自信のある，肯定的な
research	研究，調査
position	位置，立場，地位
exchange	交換／…を交換する
position	位置，地位
employee	従業員
standard	標準，基準
eleventh	11番目の
distinct	はっきり異なる
ancestor	祖先
document	文書
merchant	商人
treasure	宝，財宝
medicine	薬
pleasant	楽しい，気持ちのよい
recently	最近
notebook	ノート
separate	分離した／…を切り離す
tropical	熱帯（地方）の
calendar	カレンダー
pleasure	楽しみ，喜び
audience	聴衆，観客，視聴者
strength	力，強さ
continue	…を続ける
adequate	十分な
question	質問
district	地域，地区
internal	内部の
Atlantic	大西洋の
response	反応，返答
steadily	着実に
remember	思い出す，覚えている
politics	政治
thirteen	13
location	位置，場所
external	外部の
stranger	見知らぬ人，（ある場所に）初めて来た人
facility	施設，設備
stranger	見知らぬ人
familiar	馴染みのある
actually	実際に，現実に
directly	直接（的）に
equality	平等
exciting	興奮させる
normally	通常は，正常に
threaten	…を脅かす
intimate	親密な
fourteen	14
addition	付加，追加
chemical	化学の／化学製品
straight	まっすぐに
vacation	休暇
military	軍隊の，軍事の
behavior	行動，振る舞い
entirely	完全に，全く
contrast	対照
establish	…を設立する
accompany	…に付き添う
available	利用できる，人の手があいている
candidate	候補者，志願者
treatment	扱い，処置，治療
technical	技術上の，専門的な
policeman	警官
evolution	進化，進展
political	政治の，政治的な
telescope	望遠鏡
long-term	長期的な
difficult	むずかしい
advertise	…を宣伝［広告］する
introduce	…を紹介する，…を導入する
civilized	発達した文明をもつ
introduce	紹介する，初めて伝える
classroom	教室
gradually	次第に
character	性格，特質
different	違った
structure	構造
passenger	乗客
potential	潜在的な
seventeen	17
household	（一つ屋根の下で暮らす）家族，家
determine	…を決める
precisely	正確に
September	９月
prejudice	先入観，偏見
sensitive	敏感な，神経質な
fifteenth	１５番目の
territory	領土
something	何か
elaborate	手の込んだ
president	社長，大統領，学長
extremely	極端に
community	共同社会
broadcast	…を放送する
translate	…を翻訳する
recognize	…がそれ（その人）だとわかる
affection	愛情
brilliant	すばらしい
primarily	主として
important	重要な
economics	経済学
recommend	…を薦める
education	教育
yesterday	昨日
transform	…を変える
immigrant	移民
principle	原理・原則，主義
breakfast	朝食
complaint	不満
necessity	必要，必要なもの
privilege	特権
desirable	望ましい
identical	全く同じ
necessary	必要な
wonderful	すばらしい
tradition	伝統
condition	状態，条件
landscape	風景
sixteenth	１６番目の
guarantee	…を保証する
obviously	明らかに
necessary	必要な
situation	状況，情勢
therefore	それゆえ
celebrate	…を祝う
knowledge	知識
Wednesday	水曜日
scientist	科学者
conscious	意識して，気づいて
Australia	オーストラリア
agreement	同意，一致
reference	言及，参照
efficient	効率［能率］の良い
naturally	当然，自然に
universal	普遍的な，万国［万人］共通の
regularly	規則的に，定期的に
invisible	見えない
criticism	批判
direction	方向，方角
criticize	…を批判する
stimulate	…を刺激する
cultivate	…を耕作する，…を栽培する
Christmas	クリスマス
thirtieth	３０番目の
statement	話，陳述，声明
entertain	…を楽しませる
spiritual	精神の，精神的な
insurance	保険
financial	財政の，金融の
eliminate	…を取り除く
practical	実用的な，実際的な
happiness	幸福
committee	委員会
embarrass	…を恥ずかしがらせる，…にばつの悪い思いをさせる
president	大統領
immediate	即座の
companion	連れ，仲間
emotional	感情の，感情的な
certainly	確かに
emphasize	…を強調する
primitive	原始的な
vegetable	野菜
principal	第一の，主要な／校長，学長
curiosity	好奇心
effective	効果的な
explosion	爆発
influence	…に影響を及ぼす／影響
sacrifice	犠牲／…を犠牲にする
afternoon	午後
kilometer	キロメートル
permanent	永久の，常設の
exception	例外
generally	一般的に
volunteer	ボランティア，志願兵
newspaper	新聞
excessive	過度の
gentleman	紳士
interrupt	…の邪魔をする，…を中断させる
disappear	消える
represent	…を表す，…を代表する
essential	不可欠な
ourselves	私たち自身を
classical	古典の，古典的な
encounter	…に遭遇する
literally	文字通りに
interpret	…を解釈する，通訳する
sometimes	時々
beautiful	美しい
challenge	挑戦，難題／…に異議を唱える
expensive	値段が高い
twentieth	２０番目の
authority	権威
associate	…を結びつけて考える
delicious	おいしい
everybody	だれでもみな
interfere	干渉する，阻害する
fascinate	…を魅了する
democracy	民主主義
construct	…を組み立てる，…を建造する
otherwise	さもなければ，それとは違うように
advantage	有利，利点
encourage	…を励ます，…を助長する
substance	物質
originate	起こる，生じる
Westerner	西洋人，西部に住む人
virtually	実質的に
concerned	関わっている，心配している
carefully	注意深く
executive	幹部，重役
dependent	依存している
operation	操作，運転，手術
judgement	判断
continent	大陸
confusion	混乱
furniture	家具，調度品
transport	…を輸送する／輸送
colleague	同僚
similarity	類似（点）
population	人口，国民
remarkable	目立った，顕著な
possession	所有，所有物
background	背景，経歴
individual	個人の，個々の／個人
basketball	バスケットボール
industrial	産業の，工業の
biological	生物学上の
preference	好み
themselves	彼(女)ら自身
constantly	常に
elementary	初歩の，基本の
university	大学
acceptance	受け入れ
constitute	…を構成する
illustrate	…を詳しく説明する
nineteenth	１９番目の
government	政府，統治
investment	投資
generation	世代
inevitable	避けられない
electrical	電気の
unpleasant	不愉快な
limitation	制限，制約
discussion	議論
substitute	…を代わりに使う／代わり
discussion	討論
literature	文学
artificial	人工的な
strengthen	…を強化する
production	生産，製造
eighteenth	１８番目の
well-known	よく知られた
foundation	土台，根拠，設立
contribute	寄付する，貢献する
occupation	職業
profession	職業
statistics	統計
eventually	最終的には
specialist	専門家，専門医
convenient	都合がよい
accustomed	慣れている
convention	しきたり，（大規模な）会議
impression	印象
inhabitant	（ある場所の）居住者，生息動物
comparison	比較
proportion	比率，割合
obligation	義務
aggression	攻撃性
equivalent	等しい，同等の
discourage	…をがっかりさせる
additional	追加の
punishment	罰
conference	会議
mechanical	機械の，機械的な
confidence	自信，信頼
aggressive	攻撃的な，積極的な
widespread	広範囲に渡る
extinction	絶滅
unexpected	予期せぬ
expression	表現
automobile	自動車
scientific	科学の
laboratory	実験室
appearance	出現，外見
absolutely	絶対に
everything	すべてのもの
attractive	魅力的な
discipline	しつけ，規律
centimeter	センチメートル
experiment	実験
enthusiasm	情熱，熱意
disappoint	…をがっかりさせる
fourteenth	１４番目の
definition	定義
tremendous	非常に大きな
everywhere	どこでも
impossible	不可能な，だめな
difficulty	困難，苦労
assumption	想定，思いこみ
experience	経験／…を経験する
phenomenon	現象
difference	違い
complexity	複雑さ
democratic	民主主義の，民主的な
conclusion	結論
revolution	革命
understand	理解する
restaurant	レストラン
popularity	人気
dictionary	辞書
enterprise	会社，事業
altogether	完全に
technology	テクノロジー，科学技術
reasonable	理性のある，理にかなった
frequently	頻繁に
reputation	評判
atmosphere	雰囲気
interested	興味のある
perception	洞察（力），知覚
historical	歴史（上）の
especially	特に
vocabulary	語い
politician	政治家
reflection	反映，反射
particular	特定の，特にその，気むずかしい
accomplish	…を成し遂げる
instrument	道具，器具
regardless	かかわらず，関係なく
mysterious	不可解な
volleyball	バレーボール
specialize	専門にする，専攻する
sufficient	十分な
thirteenth	１３番目の
especially	特に
philosophy	哲学
description	説明，描写
significant	重要な
imagination	想像
comfortable	心地の良い
concentrate	集中する
acknowledge	…の存在［正しさ］を認める
intelligent	知能の高い
communicate	意思を伝える，…を伝達する
recognition	その人［それ］だとわかること
information	情報
destruction	破壊
appropriate	適当な，適切な
opportunity	機会
arrangement	準備，取り決め
responsible	責任がある
personality	人格，性格，（芸能界などの）有名人
alternative	代替となるもの／代替の
investigate	（…を）調査する
immediately	即座に
association	協会，組合
agriculture	農業
consumption	消費
immigration	（他国からの）移住
perspective	見地，視座
traffic jam	交通渋滞
effectively	効果的に
grandfather	祖父
philosopher	哲学者
cooperation	協力
practically	実質的に，ほとんど
appointment	約束
manufacture	製造する
instruction	指示，指導
consequence	結果
requirement	要求される事柄，必要なもの
essentially	本質的に
interesting	おもしろい
educational	教育の，教育的な
grandmother	祖母
distinction	区別，違い
participate	参加する
observation	観察
application	応用，適用
necessarily	必然的に
seventeenth	１７番目の
independent	独立した，自立した
institution	制度，慣習，（重要な）施設
competition	競争，競争相手
traditional	伝統的な
distinguish	…を区別する
explanation	説明　
composition	構成，楽曲
undoubtedly	疑いなく
complicated	複雑な
environment	環境
temperature	温度，体温
participant	参加者
development	発展，発達
fundamental	基本的な，根本的な
relationship	関係
intelligence	知能，諜報
professional	専門職の／専門職の人
satisfactory	満足のいく
acquaintance	知り合い
circumstance	（周囲の）状況
contribution	寄付，貢献
unemployment	失業
occasionally	時折
intellectual	知的な，知性の
conversation	会話
consequently	その結果
civilization	文明
organization	組織，団体
increasingly	ますます
construction	建設，構造
characterize	…を特徴づける
introduction	紹介，導入
deliberately	故意に
independence	独立，自立
considerable	かなりの
psychologist	心理学者
particularly	特に
disadvantage	不利，デメリット
nevertheless	にもかかわらず
overwhelming	圧倒的な
significance	重要性，意義
neighborhood	近所
contemporary	現在の，現代の，同時代の
unfortunately	残念なことに
traditionally	伝統的に
uncomfortable	心地の悪い
entertainment	娯楽
extraordinary	普通でない，並はずれた
pronunciation	発音
environmental	環境の
communication	コミュニケーション，意思の伝達
industrialize	…を産業化［工業化］する
international	国際的な
misunderstand	…を誤解する
international	国際的な
characteristic	特徴
transportation	輸送
